Title,Year,Rating,NumVotes,imdbID,Type,Released,Runtime,Genres,Directors,Actors,Country,Metascore,imdbRating,imdbVotes,tomatoMeter,tomatoReviews,tomatoUserMeter,tomatoUserReviews,DVD,poster_path,release_date
"The Book of Life","2014","7.3","32530","tt2262227","Movie","17 Oct 2014","95","Animation, Adventure, Comedy","Jorge R. Gutiérrez","Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","USA","67","7.3","32,426","82","106","78","46837","27 Jan 2015","/5B4lKHSQAtT1FSEfbjJkQ8ylxAY.jpg","2014-10-17"
"Pitch Perfect 2","2015","6.9","40784","tt2848292","Movie","15 May 2015","115","Comedy, Music","Elizabeth Banks","Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow","USA","63","6.9","39,803","65","152","70","66428","N/A","/qSjruLiFB4uqRtz2xheQPxG8uaB.jpg","2015-05-15"
"Can't Buy Me Love","1987","6.7","21145","tt0092718","Movie","14 Aug 1987","94","Comedy, Drama, Romance","Steve Rash","Patrick Dempsey, Amanda Peterson, Courtney Gains, Tina Caspary","USA","N/A","6.7","21,186","48","21","75","47788","13 Aug 2002","/geOwlE0QhYQoIt3JiGzNOPeZ64G.jpg","1987-08-14"
"Entourage","2015","7.4","15643","tt1674771","Movie","03 Jun 2015","104","Comedy","Doug Ellin","Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara","USA","38","7.4","11,389","31","157","73","25928","N/A","/lR4dwcfgCBMklKjiQXuFzRM3gfl.jpg","2015-06-03"
"It Follows","2014","7","51597","tt3235888","Movie","27 Mar 2015","100","Horror, Mystery, Thriller","David Robert Mitchell","Keir Gilchrist, Carollette Phillips, Loren Bass, Olivia Luccardi","USA","83","7.0","48,554","96","167","66","29576","14 Jul 2015","/4MrwJZr0R9LbyOgZqwLNmtzzxbu.jpg","2014-05-17"
"Tom at the Farm","2013","7","6149","tt2427892","Movie","14 Aug 2015","102","Drama, Thriller","Xavier Dolan","Xavier Dolan, Pierre-Yves Cardinal, Lise Roy, Evelyne Brochu","Canada, France","71","7.0","6,171","81","36","N/A","888","N/A","/bJ7Fb6NPGkyDRtJsAgbe6BZAafW.jpg","2013-09-02"
"Strangerland","2015","5.5","1505","tt2325977","Movie","10 Jul 2015","112","Drama, Thriller","Kim Farrant","Nicole Kidman, Hugo Weaving, Joseph Fiennes, Sean Keenan","Australia, Ireland","N/A","7.1","243","44","16","N/A","126","17 Aug 2015","/cSGg9nvkB7djAUUNxk94gF0g6h4.jpg","2015-07-10"
"The DUFF","2015","6.6","28213","tt1666801","Movie","20 Feb 2015","101","Comedy","Ari Sandel","Mae Whitman, Robbie Amell, Bella Thorne, Bianca A. Santos","USA","56","6.6","26,218","72","100","69","33475","09 Jun 2015","/dBBgPTCN5Zze4POXWVVpwf3wkra.jpg","2015-02-19"
"Whiplash","2014","8.6","254714","tt2582802","Movie","15 Oct 2014","107","Drama, Music","Damien Chazelle","Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist","USA","88","8.6","244,998","94","244","95","59229","24 Feb 2015","/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg","2014-10-10"
"Return to Sender","2015","5.1","1968","tt2948790","Movie","14 Aug 2015","95","Thriller","Fouad Mikati","Rosamund Pike, Shiloh Fernandez, Nick Nolte, Camryn Manheim","USA","N/A","5.1","1,602","10","10","N/A","293","N/A","/h5QTYxVFefHYbRsByNvsrjp5uyX.jpg","2015-05-31"
"Dragon Blade","2015","6.3","5101","tt3672840","Movie","04 Sep 2015","127","Action, Adventure, Drama","Daniel Lee","John Cusack, Jackie Chan, Adrien Brody, Sharni Vinson","China","N/A","6.4","3,793","N/A","N/A","N/A","440","N/A","/3gl11EsZS5vboQvvMYeCIzitaJz.jpg","2015-02-19"
"Fury","2014","7.6","233756","tt2713180","Movie","17 Oct 2014","134","Action, Drama, War","David Ayer","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","USA, China, UK","64","7.6","227,409","77","223","85","103000","27 Jan 2015","/il9XWx5CbNd2KdDUwrcClEZiLkv.jpg","2014-10-17"
"John Wick","2014","7.2","177124","tt2911666","Movie","24 Oct 2014","101","Action, Thriller","Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","USA","68","7.2","173,486","85","177","80","69747","03 Feb 2015","/sq2MmFv9sanl9PFMfbdaBLveSJ8.jpg","2014-10-24"
"The Green Inferno","2013","5.8","1205","tt2403021","Movie","25 Sep 2015","100","Adventure, Horror","Eli Roth","Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton","USA, Chile","N/A","5.8","1,196","63","16","N/A","5678","N/A","/prG32jWEgiZ2N8BpBPu1G0jMiv2.jpg","2015-09-25"
"American Sniper","2014","7.4","236561","tt2179136","Movie","16 Jan 2015","133","Action, Biography, Drama","Clint Eastwood","Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed","USA","72","7.4","237,128","73","240","85","145716","19 May 2015","/svPHnYE7N5NAGO49dBmRhq0vDQ3.jpg","2014-12-25"
"Transformers: Age of Extinction","2014","5.8","209497","tt2109248","Movie","27 Jun 2014","165","Action, Adventure, Sci-Fi","Michael Bay","Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz","USA, China","32","5.8","209,845","18","180","52","221858","30 Sep 2014","/6rtXH8cIZbgwLy8EvaXGucwdep5.jpg","2014-06-27"
"Divergent","2014","6.8","279467","tt1840309","Movie","21 Mar 2014","139","Adventure, Sci-Fi, Thriller","Neil Burger","Shailene Woodley, Theo James, Ashley Judd, Jai Courtney","USA","48","6.8","274,401","40","198","70","136070","04 Aug 2014","/yTtx2ciqk4XdN1oKhMMDy3f5ue3.jpg","2014-03-21"
"X-Men: Days of Future Past","2014","8.1","420243","tt1877832","Movie","23 May 2014","132","Action, Adventure, Sci-Fi","Bryan Singer","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence","USA, UK","74","8.1","412,947","91","270","92","270257","14 Oct 2014","/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg","2014-05-23"
"Watchmen","2009","7.6","348929","tt0409459","Movie","06 Mar 2009","162","Action, Mystery, Sci-Fi","Zack Snyder","Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley","USA","56","7.6","347,083","65","294","70","1052791","21 Jul 2009","/jXggcKzlyxj7yMBUIsqwiaaEtD5.jpg","2009-03-05"
"The Age of Adaline","2015","7.3","32186","tt1655441","Movie","24 Apr 2015","112","Drama, Romance","Lee Toland Krieger","Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn","USA","51","7.3","26,954","54","125","69","31638","08 Sep 2015","/gEDGROZ4NQDlRjUPPSSyIf0hKvD.jpg","2015-04-24"
"Tomorrowland","2015","6.7","39070","tt1964418","Movie","22 May 2015","130","Action, Adventure, Family","Brad Bird","George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy","USA, Spain","60","6.7","38,722","50","214","55","76987","N/A","/69Cz9VNQZy39fUE2g0Ggth6SBTM.jpg","2015-05-22"
