Title,Year,Rating,NumVotes,imdbID,Type,Released,Runtime,Genres,Directors,Actors,Country,Metascore,imdbRating,imdbVotes,tomatoMeter,tomatoReviews,tomatoUserMeter,tomatoUserReviews,DVD,poster_path,release_date
"Survivor","2015","5.5","10021","tt3247714","Movie","05 Jun 2015","96","Action, Crime, Thriller","James McTeigue","Paddy Wallace, Parker Sawyers, Bashar Rahal, Royce Pierreson","USA, UK","26","5.5","9,041","8","37","32","3025","23 Jun 2015","/XtvR1aSph7X3wqrE2PY66IPzVi.jpg","2015-05-29"
"Jaws","1975","8.1","361423","tt0073195","Movie","20 Jun 1975","124","Adventure, Drama, Thriller","Steven Spielberg","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","USA","79","8.1","358,412","97","71","90","938839","11 Jul 2000","/l1yltvzILaZcx2jYvc5sEMkM7Eh.jpg","1975-06-19"
"The Lost World: Jurassic Park","1997","6.5","240677","tt0119567","Movie","23 May 1997","129","Action, Adventure, Sci-Fi","Steven Spielberg","Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard","USA","59","6.5","236,867","52","67","51","648482","10 Oct 2000","/u1fXmEQUCI9CjyHCCYOPBSq2DYo.jpg","1997-05-19"
"Boulevard","2014","7.4","456","tt2624412","Movie","10 Jul 2015","88","Drama","Dito Montiel","Robin Williams, Bob Odenkirk, Kathy Baker, Roberto Aguire","USA","52","7.4","452","N/A","N/A","N/A","1201","N/A","/5zunVkroCATmLA3bYxNB1ElzqeS.jpg","2015-07-10"
"Nightcrawler","2014","7.9","211926","tt2872718","Movie","31 Oct 2014","117","Crime, Thriller","Dan Gilroy","Jake Gyllenhaal, Michael Papajohn, Marco Rodríguez, Bill Paxton","USA","76","7.9","207,562","95","224","86","75963","10 Feb 2015","/fukWJhLISH7f6cnYSdgb0JrSP2Q.jpg","2014-10-31"
"Mad Max","1979","7","132082","tt0079501","Movie","12 Apr 1979","88","Action, Adventure, Sci-Fi","George Miller","Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley","Australia","67","7.0","130,169","89","55","70","139323","19 Nov 1997","/mfmJ0BftkGV5uRkVEsTWM39LRIt.jpg","1979-04-12"
"Predestination","2014","7.4","122599","tt2397535","Movie","09 Jan 2015","97","Drama, Mystery, Sci-Fi","Michael Spierig, Peter Spierig","Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers","Australia","69","7.4","121,208","84","98","74","19906","10 Feb 2015","/kDdUtDsGMQ3OYwoBtEQyJIGPz4V.jpg","2014-08-28"
"Captain America: The Winter Soldier","2014","7.8","386358","tt1843866","Movie","04 Apr 2014","136","Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","USA","70","7.8","387,095","89","254","92","270427","09 Sep 2014","/5TQ6YDmymBpnF005OyoB7ohZps9.jpg","2014-04-04"
"Man of Steel","2013","7.2","473266","tt0770828","Movie","14 Jun 2013","143","Action, Adventure, Fantasy","Zack Snyder","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","USA, Canada, UK","55","7.2","469,804","56","289","76","437551","12 Nov 2013","/6HQT7R0tiWGxi7CA1zb58j28OTM.jpg","2013-06-14"
"Project Almanac","2015","6.4","35287","tt2436386","Movie","30 Jan 2015","106","Sci-Fi, Thriller","Dean Israelite","Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista","USA","47","6.3","32,501","34","82","47","26458","09 Jun 2015","/g3Krq7P7pkgjWpzUDA6lrniiSJ7.jpg","2015-01-30"
"7 Days in Hell","2015","7.3","2754","tt3895884","TV Movie","11 Jul 2015","43","Comedy","Jake Szymanski","Kit Harington, Karen Gillan, Mary Steenburgen, Lena Dunham","USA","N/A","8.5","51","N/A","N/A","N/A","N/A","N/A","/isWRoDiOlB9kX1CGqBmmfJ4djCu.jpg","2015-07-11"
"The Goonies","1985","7.8","159958","tt0089218","Movie","07 Jun 1985","114","Adventure, Comedy, Family","Richard Donner","Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman","USA","60","7.8","159,274","69","45","91","576830","21 Aug 2001","/bZUbpjwnarSHJK40W9sGpyedWhx.jpg","1985-06-06"
"True Story","2015","6.5","4546","tt2273657","Movie","17 Apr 2015","99","Drama, Mystery, Thriller","Rupert Goold","Jonah Hill, James Franco, Felicity Jones, Maria Dizzia","USA","50","7.1","1,727","47","125","46","16276","04 Aug 2015","/2kJCtB5FPfNH3LDYv2vINrtgCRD.jpg","2015-04-17"
"Slow West","2015","7","8338","tt3205376","Movie","16 Apr 2015","84","Action, Thriller, Western","John Maclean","Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn, Aorere Paki","UK, New Zealand","73","7.1","3,806","91","96","77","4917","07 Jul 2015","/4d4rl3MzxC8lkXTq8XBOCZfaYmp.jpg","2015-04-16"
